web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,link,link-href,image
"1613204862-1379","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS 17.3'' VivoBook 17 M712DK, FHD, Procesor AMD Ryzen™ 5 3500U (4M Cache, up to 3.70 GHz), 8GB DDR4, 512GB SSD, Radeon R540X 2GB, FreeDos, Transparent Silver","3.399,00 RON","Nu este in stoc","16","https://www.pcgarage.ro/notebook-laptop/pagina16/filtre/placa-video-placa-video-dedicata/","Laptop ASUS 17.3'' VivoBook 17 M712DK, FHD, Procesor AMD Ryzen™ 5 3500U (4M Cache, up to 3.70 GHz), 8GB DDR4, 512GB SSD, Radeon R540X 2GB, FreeDos, Transparent Silver","https://www.pcgarage.ro/notebook-laptop/asus/173-vivobook-17-m712dk-fhd-procesor-amd-ryzen-5-3500u-4m-cache-up-to-370-ghz-8gb-ddr4-512gb-ssd-radeon-r540x-2gb-freedos-transparent-silver/","https://2.grgs.ro/images/products/1/1990682/1991522/thumbnails/173-vivobook-17-m712dk-fhd-procesor-amd-ryzen-3-3200u-4m-cache-up-to-350-ghz-8gb-ddr4-256gb-ssd-radeon-r540x-2gb-freedos-transparent-silver-55c40d763cb4713bfeb0c14c27703d81.jpg, https://4.grgs.ro/images/products/1/1990682/1991522/normal/173-vivobook-17-m712dk-fhd-procesor-amd-ryzen-3-3200u-4m-cache-up-to-350-ghz-8gb-ddr4-256gb-ssd-radeon-r540x-2gb-freedos-transparent-silver-55c40d763cb4713bfeb0c14c27703d81.jpg 2x"
"1613205197-4494","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo 15.6'' Yoga Creator 7 15IMH05, FHD IPS, Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), 16GB DDR4, 1TB SSD, GeForce GTX 1650 4GB, Win 10 Pro, Dark Moss","6.298,99 RON","Stoc magazin limitat","2","https://www.pcgarage.ro/notebook-laptop/pagina2/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo 15.6'' Yoga Creator 7 15IMH05, FHD IPS, Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), 16GB DDR4, 1TB SSD, GeForce GTX 1650 4GB, Win 10 Pro, Dark Moss","https://www.pcgarage.ro/notebook-laptop/lenovo/156-yoga-creator-7-15imh05-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-1tb-ssd-geforce-gtx-1650-4gb-win-10-pro-dark-moss/","https://4.grgs.ro/images/products/1/8441/2092398/thumbnails/156-yoga-creator-7-15imh05-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-1tb-ssd-geforce-gtx-1650-4gb-win-10-pro-dark-moss-4ec54a484c8a6149db602cfe43f9117e.jpg, https://3.grgs.ro/images/products/1/8441/2092398/normal/156-yoga-creator-7-15imh05-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-1tb-ssd-geforce-gtx-1650-4gb-win-10-pro-dark-moss-4ec54a484c8a6149db602cfe43f9117e.jpg 2x"
"1613205181-4446","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 17.3'' ROG Strix SCAR 17 G732LXS, FHD 300Hz, Procesor Intel® Core™ i9-10980HK (16M Cache, up to 5.30 GHz), 32GB DDR4, 1TB SSD, GeForce RTX 2080 SUPER 8GB, No OS, Black","12.998,99 RON","Stoc magazin suficient","3","https://www.pcgarage.ro/notebook-laptop/pagina3/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 17.3'' ROG Strix SCAR 17 G732LXS, FHD 300Hz, Procesor Intel® Core™ i9-10980HK (16M Cache, up to 5.30 GHz), 32GB DDR4, 1TB SSD, GeForce RTX 2080 SUPER 8GB, No OS, Black","https://www.pcgarage.ro/notebook-laptop/asus/gaming-173-rog-strix-scar-17-g732lxs-fhd-300hz-procesor-intel-core-i9-10980hk-16m-cache-up-to-530-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2080-super-8gb-no-os-black/","https://5.grgs.ro/images/products/1/2045418/2047786/thumbnails/gaming-173-rog-strix-scar-17-g732lxs-fhd-300hz-procesor-intel-core-i9-10980hk-16m-cache-up-to-530-ghz-32gb-ddr4-2x-512gb-ssd-geforce-rtx-2080-super-8g-942ea94cf650d7bc3cb786437cc7c0cc.jpg, https://4.grgs.ro/images/products/1/2045418/2047786/normal/gaming-173-rog-strix-scar-17-g732lxs-fhd-300hz-procesor-intel-core-i9-10980hk-16m-cache-up-to-530-ghz-32gb-ddr4-2x-512gb-ssd-geforce-rtx-2080-super-8g-942ea94cf650d7bc3cb786437cc7c0cc.jpg 2x"
"1613204917-2146","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Alienware Gaming 17.3'' m17 R3, FHD 300Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 2x 512GB RAID + 512GB SSD, GeForce RTX 2070 8GB, Win 10 Pro, Lunar Light, 3Yr BOS","15.155,29 RON","In stoc furnizor","8","https://www.pcgarage.ro/notebook-laptop/pagina8/filtre/placa-video-placa-video-dedicata/","Laptop Alienware Gaming 17.3'' m17 R3, FHD 300Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 2x 512GB RAID + 512GB SSD, GeForce RTX 2070 8GB, Win 10 Pro, Lunar Light, 3Yr BOS","https://www.pcgarage.ro/notebook-laptop/alienware/gaming-173-m17-r3-fhd-300hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-2x-512gb-raid-plus-512gb-ssd-geforce-rtx-2070-8gb-win-10-pro-lunar-light-3yr-bos/","https://3.grgs.ro/images/products/1/6954/2060298/thumbnails/gaming-173-m17-r3-fhd-300hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-2x-512gb-raid-plus-512gb-ssd-geforce-rtx-2070-8gb-win-10-p-99a01f0439172e1e3d0bcf5aab13fbe1.jpg, https://2.grgs.ro/images/products/1/6954/2060298/normal/gaming-173-m17-r3-fhd-300hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-2x-512gb-raid-plus-512gb-ssd-geforce-rtx-2070-8gb-win-10-p-99a01f0439172e1e3d0bcf5aab13fbe1.jpg 2x"
"1613204881-1625","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 17.3'' Pavilion 17-cd1006nq, FHD IPS, Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), 8GB DDR4, 1TB 7200 RPM + 256GB SSD, GeForce GTX 1650 Ti 4GB, Free DOS, Shadow Black","5.399,00 RON","Nu este in stoc","13","https://www.pcgarage.ro/notebook-laptop/pagina13/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 17.3'' Pavilion 17-cd1006nq, FHD IPS, Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), 8GB DDR4, 1TB 7200 RPM + 256GB SSD, GeForce GTX 1650 Ti 4GB, Free DOS, Shadow Black","https://www.pcgarage.ro/notebook-laptop/hp/gaming-173-pavilion-17-cd1006nq-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-8gb-ddr4-1tb-7200-rpm-plus-256gb-ssd-geforce-gtx-1650-ti-4gb-free-dos-shadow-black/","https://5.grgs.ro/images/products/1/1990682/2062938/thumbnails/gaming-173-pavilion-17-cd1006nq-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-8gb-ddr4-1tb-7200-rpm-plus-256gb-ssd-geforce-gtx-1650-ti--4e4b787ee4e36dfccc8dee2720632836.jpg, https://1.grgs.ro/images/products/1/1990682/2062938/normal/gaming-173-pavilion-17-cd1006nq-fhd-ips-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-8gb-ddr4-1tb-7200-rpm-plus-256gb-ssd-geforce-gtx-1650-ti--4e4b787ee4e36dfccc8dee2720632836.jpg 2x"
"1613204917-2144","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ROG Zephyrus S15 GX502LWS, FHD 300Hz, Procesor Intel® Core™ i7-10875H (16M Cache, up to 5.10 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2070 SUPER 8GB, Win 10 Home, Black","12.065,91 RON","In stoc furnizor","8","https://www.pcgarage.ro/notebook-laptop/pagina8/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ROG Zephyrus S15 GX502LWS, FHD 300Hz, Procesor Intel® Core™ i7-10875H (16M Cache, up to 5.10 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2070 SUPER 8GB, Win 10 Home, Black","https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-rog-zephyrus-s15-gx502lws-fhd-300hz-procesor-intel-core-i7-10875h-16m-cache-up-to-510-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2070-super-8gb-win-10-home-black/","https://4.grgs.ro/images/products/1/7193/2134734/thumbnails/gaming-156-rog-zephyrus-s15-gx502lxs-fhd-300hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2080-super-8gb-win--1a0b793d85d58b92d1fa8eb57d7c3a18.jpg, https://3.grgs.ro/images/products/1/7193/2134734/normal/gaming-156-rog-zephyrus-s15-gx502lxs-fhd-300hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2080-super-8gb-win--1a0b793d85d58b92d1fa8eb57d7c3a18.jpg 2x"
"1613205181-4454","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' TUF Dash F15 FX516PR, FHD 240Hz, Procesor Intel® Core™ i7-11370H (12M Cache, up to 4.80 GHz, with IPU), 16GB DDR4, 1TB SSD, GeForce RTX 3070 8GB, No OS, Eclipse Gray","7.998,99 RON","Stoc magazin suficient","3","https://www.pcgarage.ro/notebook-laptop/pagina3/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' TUF Dash F15 FX516PR, FHD 240Hz, Procesor Intel® Core™ i7-11370H (12M Cache, up to 4.80 GHz, with IPU), 16GB DDR4, 1TB SSD, GeForce RTX 3070 8GB, No OS, Eclipse Gray","https://www.pcgarage.ro/notebook-laptop/asus/gaming-156tuf-dash-f15-fx516pr-fhd-240hz-procesor-intel-core-i7-11370h-12m-cache-up-to-480-ghz-with-ipu-16gb-ddr4-1tb-ssd-geforce-rtx-3070-8gb-no-os-eclipse-gray/","https://2.grgs.ro/images/products/1/352/2127198/thumbnails/gaming-156tuf-dash-f15-fx516pr-fhd-240hz-procesor-intel-core-i7-11370h-12m-cache-up-to-480-ghz-with-ipu-16gb-ddr4-1tb-ssd-geforce-rtx-3070-8gb-no-os-e-8ad47a1594d0cfe4def09ee7d890eddd.jpg, https://2.grgs.ro/images/products/1/352/2127198/normal/gaming-156tuf-dash-f15-fx516pr-fhd-240hz-procesor-intel-core-i7-11370h-12m-cache-up-to-480-ghz-with-ipu-16gb-ddr4-1tb-ssd-geforce-rtx-3070-8gb-no-os-e-8ad47a1594d0cfe4def09ee7d890eddd.jpg 2x"
"1613205197-4495","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 15.6'' Legion 5P 15IMH05H, FHD IPS 144Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, No OS, Iron Grey","6.498,99 RON","Stoc magazin suficient","2","https://www.pcgarage.ro/notebook-laptop/pagina2/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 15.6'' Legion 5P 15IMH05H, FHD IPS 144Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, No OS, Iron Grey","https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-legion-5p-15imh05h-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-no-os-iron-grey/","https://1.grgs.ro/images/products/1/2045418/2049934/thumbnails/gaming-156-legion-5p-15imh05h-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-no-os-iron-gr-c2c78fc04b1f5c19abe7f7363af60dd2.jpg, https://5.grgs.ro/images/products/1/2045418/2049934/normal/gaming-156-legion-5p-15imh05h-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-no-os-iron-gr-c2c78fc04b1f5c19abe7f7363af60dd2.jpg 2x"
"1613205164-4413","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo 15.6'' ThinkPad E15 Gen 2, FHD, Procesor Intel® Core™ i5-1135G7 (8M Cache, up to 4.20 GHz), 16GB DDR4, 512GB SSD, GeForce MX450 2GB, Win 10 Pro, Black","5.298,99 RON","Stoc magazin suficient","4","https://www.pcgarage.ro/notebook-laptop/pagina4/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo 15.6'' ThinkPad E15 Gen 2, FHD, Procesor Intel® Core™ i5-1135G7 (8M Cache, up to 4.20 GHz), 16GB DDR4, 512GB SSD, GeForce MX450 2GB, Win 10 Pro, Black","https://www.pcgarage.ro/notebook-laptop/lenovo/156-thinkpad-e15-gen-2-fhd-procesor-intel-core-i5-1135g7-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-mx450-2gb-win-10-pro-black/","https://1.grgs.ro/images/products/1/1990366/2101598/thumbnails/156-thinkpad-e15-gen-2-fhd-procesor-intel-core-i5-1135g7-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-mx450-2gb-win-10-pro-black-780b3a5af9f8d2a8d7ab6326bb1cd248.jpg, https://1.grgs.ro/images/products/1/1990366/2101598/normal/156-thinkpad-e15-gen-2-fhd-procesor-intel-core-i5-1135g7-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-mx450-2gb-win-10-pro-black-780b3a5af9f8d2a8d7ab6326bb1cd248.jpg 2x"
"1613204881-1624","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ASUS TUF A15 FA506II, FHD, Procesor AMD Ryzen™ 7 4800H (8M Cache, up to 4.2 GHz), 8GB DDR4, 512GB SSD, GeForce GTX 1650 Ti 4GB, No OS, Fortress Gray","4.199,00 RON","Nu este in stoc","13","https://www.pcgarage.ro/notebook-laptop/pagina13/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ASUS TUF A15 FA506II, FHD, Procesor AMD Ryzen™ 7 4800H (8M Cache, up to 4.2 GHz), 8GB DDR4, 512GB SSD, GeForce GTX 1650 Ti 4GB, No OS, Fortress Gray","https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-asus-tuf-a15-fa506ii-fhd-procesor-amd-ryzen-7-4800h-8m-cache-up-to-42-ghz-8gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-fortress-gray/","https://4.grgs.ro/images/products/1/7960/2055890/thumbnails/gaming-156-asus-tuf-a15-fa506ii-fhd-144hz-procesor-amd-ryzen-7-4800h-8m-cache-up-to-42-ghz-8gb-ddr4-1tb-plus-256gb-ssd-geforce-gtx-1650-ti-4gb-free-do-06ce33d881eaff10db1dd5d0cf2f3a68.jpg, https://5.grgs.ro/images/products/1/7960/2055890/normal/gaming-156-asus-tuf-a15-fa506ii-fhd-144hz-procesor-amd-ryzen-7-4800h-8m-cache-up-to-42-ghz-8gb-ddr4-1tb-plus-256gb-ssd-geforce-gtx-1650-ti-4gb-free-do-06ce33d881eaff10db1dd5d0cf2f3a68.jpg 2x"
"1613204826-975","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 17.3'' OMEN 17-cb1005nq, FHD IPS 144Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, Free DOS, Shadow Black","8.199,00 RON","Nu este in stoc","21","https://www.pcgarage.ro/notebook-laptop/pagina21/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 17.3'' OMEN 17-cb1005nq, FHD IPS 144Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, Free DOS, Shadow Black","https://www.pcgarage.ro/notebook-laptop/hp/gaming-173-omen-17-cb1005nq-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-free-dos-shadow-black/","https://3.grgs.ro/images/products/1/6954/2061766/thumbnails/gaming-173-omen-17-cb1005nq-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-free-dos-shadow-f790e9cca3ae9bf0d483551ebe15ba63.jpg, https://3.grgs.ro/images/products/1/6954/2061766/normal/gaming-173-omen-17-cb1005nq-fhd-ips-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-free-dos-shadow-f790e9cca3ae9bf0d483551ebe15ba63.jpg 2x"
"1613204952-2480","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-ec0019nq, FHD, Procesor AMD Ryzen™ 7 3750H (4M Cache, up to 4.0 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1660 Ti 6GB, FreeDos, Shadow Black","4.899,00 RON","Nu este in stoc","10","https://www.pcgarage.ro/notebook-laptop/pagina10/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-ec0019nq, FHD, Procesor AMD Ryzen™ 7 3750H (4M Cache, up to 4.0 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1660 Ti 6GB, FreeDos, Shadow Black","https://www.pcgarage.ro/notebook-laptop/hp/gaming-156-pavilion-15-ec0019nq-fhd-procesor-amd-ryzen-7-3750h-4m-cache-up-to-40-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1660-ti-6gb-freedos-shadow-black/","https://2.grgs.ro/images/products/1/1960570/1985378/thumbnails/gaming-156-pavilion-15-ec0002nq-fhd-procesor-amd-ryzen-5-3550h-4m-cache-up-to-370-ghz-8gb-ddr4-1tb-geforce-gtx-1050-3gb-freedos-shadow-black-31d514532cc5171ef9afcd99c0914720.jpg, https://2.grgs.ro/images/products/1/1960570/1985378/normal/gaming-156-pavilion-15-ec0002nq-fhd-procesor-amd-ryzen-5-3550h-4m-cache-up-to-370-ghz-8gb-ddr4-1tb-geforce-gtx-1050-3gb-freedos-shadow-black-31d514532cc5171ef9afcd99c0914720.jpg 2x"
"1613205097-4045","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo 15.6'' ThinkPad T15 Gen 1, UHD, Procesor Intel® Core™ i7-10510U (8M Cache, up to 4.90 GHz), 16GB DDR4, 512GB SSD, GeForce MX330 2GB, 4G LTE, Win 10 Pro, Black","11.049,00 RON","Nu este in stoc","‹","https://www.pcgarage.ro/notebook-laptop/pagina22/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo 15.6'' ThinkPad T15 Gen 1, UHD, Procesor Intel® Core™ i7-10510U (8M Cache, up to 4.90 GHz), 16GB DDR4, 512GB SSD, GeForce MX330 2GB, 4G LTE, Win 10 Pro, Black","https://www.pcgarage.ro/notebook-laptop/lenovo/156-thinkpad-t15-gen-1-uhd-procesor-intel-core-i7-10510u-8m-cache-up-to-490-ghz-16gb-ddr4-512gb-ssd-geforce-mx330-2gb-4g-lte-win-10-pro-black/","https://3.grgs.ro/images/products/1/7960/2072554/thumbnails/156-thinkpad-t15-gen-1-fhd-ips-procesor-intel-core-i7-10510u-8m-cache-up-to-490-ghz-16gb-ddr4-512gb-ssd-gma-uhd-win-10-pro-black-86b2a1d330b2e23fdd74cf40c9125324.jpg, https://2.grgs.ro/images/products/1/7960/2072554/normal/156-thinkpad-t15-gen-1-fhd-ips-procesor-intel-core-i7-10510u-8m-cache-up-to-490-ghz-16gb-ddr4-512gb-ssd-gma-uhd-win-10-pro-black-86b2a1d330b2e23fdd74cf40c9125324.jpg 2x"
"1613204952-2491","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 15.6'' Legion 5 15ARH05H, FHD IPS, Procesor AMD Ryzen™ 7 4800H (8M Cache, up to 4.20 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2060 6GB, Free DOS, Phantom Black, 4-Zone RGB","6.499,00 RON","Nu este in stoc","10","https://www.pcgarage.ro/notebook-laptop/pagina10/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 15.6'' Legion 5 15ARH05H, FHD IPS, Procesor AMD Ryzen™ 7 4800H (8M Cache, up to 4.20 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2060 6GB, Free DOS, Phantom Black, 4-Zone RGB","https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-legion-5-15arh05h-fhd-ips-procesor-amd-ryzen-7-4800h-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2060-6gb-free-dos-phantom-black-4-zone-rgb/","https://2.grgs.ro/images/products/1/2045418/2124474/thumbnails/gaming-156-legion-5-15arh05-fhd-ips-procesor-amd-ryzen-7-4800h-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-phantom-black-84b27d83a27ad433dd902dd5ee425e72.jpg, https://3.grgs.ro/images/products/1/2045418/2124474/normal/gaming-156-legion-5-15arh05-fhd-ips-procesor-amd-ryzen-7-4800h-8m-cache-up-to-420-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-phantom-black-84b27d83a27ad433dd902dd5ee425e72.jpg 2x"
"1613205164-4405","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ASUS TUF F15 FX506LI, FHD, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 8GB DDR4, 512GB SSD, GeForce GTX 1650 Ti 4GB, No OS, Bonfire Black","4.748,99 RON","Stoc magazin suficient","4","https://www.pcgarage.ro/notebook-laptop/pagina4/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ASUS TUF F15 FX506LI, FHD, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 8GB DDR4, 512GB SSD, GeForce GTX 1650 Ti 4GB, No OS, Bonfire Black","https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-asus-tuf-f15-fx506li-fhd-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-8gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-bonfire-black/","https://2.grgs.ro/images/products/1/9507/2122098/thumbnails/gaming-156-asus-tuf-f15-fx506li-fhd-144hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-bonf-b001c647279b991deb7c7143a37bdd59.jpg, https://4.grgs.ro/images/products/1/9507/2122098/normal/gaming-156-asus-tuf-f15-fx506li-fhd-144hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-bonf-b001c647279b991deb7c7143a37bdd59.jpg 2x"
"1613205061-3633","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop DELL 14'' Latitude 5411 (seria 5000), FHD, Procesor Intel® Core™ i7-10850H (12M Cache, up to 5.10 GHz), 16GB DDR4, 512GB SSD, GeForce MX250 2GB, FingerPrint Reader, Win 10 Pro, 3Yr BOS","7.789,76 RON","Nu este in stoc","20","https://www.pcgarage.ro/notebook-laptop/pagina20/filtre/placa-video-placa-video-dedicata/","Laptop DELL 14'' Latitude 5411 (seria 5000), FHD, Procesor Intel® Core™ i7-10850H (12M Cache, up to 5.10 GHz), 16GB DDR4, 512GB SSD, GeForce MX250 2GB, FingerPrint Reader, Win 10 Pro, 3Yr BOS","https://www.pcgarage.ro/notebook-laptop/dell/14-latitude-5411-seria-5000-fhd-procesor-intel-core-i7-10850h-12m-cache-up-to-510-ghz-16gb-ddr4-512gb-ssd-geforce-mx250-2gb-fingerprint-reader-win-10-pro-3yr-bos/","https://4.grgs.ro/images/products/1/352/2132426/thumbnails/14-latitude-5411-seria-5000-fhd-procesor-intel-core-i7-10850h-12m-cache-up-to-510-ghz-16gb-ddr4-512gb-ssd-gma-uhd-win-10-pro-3yr-bos-ab21a58428a4ab48f35b437ee13c9df1.jpg, https://2.grgs.ro/images/products/1/352/2132426/normal/14-latitude-5411-seria-5000-fhd-procesor-intel-core-i7-10850h-12m-cache-up-to-510-ghz-16gb-ddr4-512gb-ssd-gma-uhd-win-10-pro-3yr-bos-ab21a58428a4ab48f35b437ee13c9df1.jpg 2x"
"1613205181-4450","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 17.3'' ROG Strix G17 G712LV, FHD 144Hz, Procesor Intel® Core™ i7-10875H (16M Cache, up to 5.10 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2060 6GB, No OS, Black","6.898,99 RON","Stoc magazin suficient","3","https://www.pcgarage.ro/notebook-laptop/pagina3/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 17.3'' ROG Strix G17 G712LV, FHD 144Hz, Procesor Intel® Core™ i7-10875H (16M Cache, up to 5.10 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2060 6GB, No OS, Black","https://www.pcgarage.ro/notebook-laptop/asus/gaming-173-rog-strix-g17-g712lv-fhd-144hz-procesor-intel-core-i7-10875h-16m-cache-up-to-510-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2060-6gb-no-os-black/","https://3.grgs.ro/images/products/1/2045418/2060810/thumbnails/gaming-173-rog-strix-g17-g712lv-fhd-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-no-os-black-93821a4ef3a6554ab1f2e4c720f3447b.jpg, https://1.grgs.ro/images/products/1/2045418/2060810/normal/gaming-173-rog-strix-g17-g712lv-fhd-144hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-no-os-black-93821a4ef3a6554ab1f2e4c720f3447b.jpg 2x"
